Timestamp,"Who are you? (Please provide a distinctive, memorable *FAKE NAME*) ",What is your favourite movie genre?,Favourite animal as a pet?,Favourite world cuisine?,Favourite hobby?,What time do you prefer to study (express as Vancouver time),
2022/01/31 7:20:35 AM PST,GachaEnjoyer,Animated,Cat,Vietnamese,Playing video games,Morning,
2022/01/31 8:32:59 AM PST,Milk,Comedy,Dog,Italian,Playing a sport,Afternoon,
2022/01/31 8:33:26 AM PST,haha,Drama,Dog,Korean,Painting or Drawing,Evening,
2022/01/31 8:33:38 AM PST,Aurora,Animated,Cat,Chinese,Playing a sport,Evening,
2022/01/31 8:33:45 AM PST,hihi,Comedy,Dog,Korean,Making videos,Evening,
2022/01/31 8:34:03 AM PST,Senator Armstrong,Action,Fish,Chinese,Playing an instrument,Afternoon,
2022/01/31 8:34:13 AM PST,OMNI ,Sci-fi,Dog,Italian,Playing video games,Afternoon,
2022/01/31 8:34:20 AM PST,Keegan wong,Comedy,Dog,Japanese,Playing a sport,Late night,
2022/01/31 8:35:24 AM PST,Wednesday Addams,Sci-fi,Dog,Mexican,Painting or Drawing,Afternoon,
2022/01/31 8:38:22 AM PST,Lucky,Horror,Dog,Greek,Dancing,Evening,
2022/01/31 8:39:34 AM PST,QQ,Romance,Cat,Chinese,Hiking,Evening,
2022/01/31 8:44:48 AM PST,peter three,Action,Dog,Korean,Playing a sport,Evening,
2022/01/31 8:46:57 AM PST,Mochi Puff,Fantasy,Turtle,Japanese,Learning new languages,Morning,
2022/01/31 8:48:30 AM PST,Wakakakaka,Comedy,Cat,Thai,Crafts,Evening,
2022/01/31 8:50:09 AM PST,Dollar Bill,Action,Dog,Malaysian,Playing a sport,Evening,
2022/01/31 8:56:47 AM PST,KDawg,Fantasy,Dog,Japanese,Playing video games,Afternoon,
2022/01/31 8:57:11 AM PST,C,Romance,Dog,Mexican,Hiking,Evening,
2022/01/31 8:57:36 AM PST,Arson,Horror,Dog,Indian,Painting or Drawing,Evening,
2022/01/31 8:57:37 AM PST,Samantha,Animated,Dog,Chinese,Playing a sport,Morning,
2022/01/31 8:57:40 AM PST,Simba,Fantasy,Lion,Korean,Hanging out w friends,Late night,
2022/01/31 8:58:13 AM PST,Joe Chill,Fantasy,Cat,Korean,Playing video games,Evening,
2022/01/31 8:58:13 AM PST,jimin,Comedy,Dog,Korean,Painting or Drawing,Late night,
2022/01/31 8:58:25 AM PST,joe buRRR,Sci-fi,Dog,Italian,Playing a sport,Late night,
2022/01/31 8:58:32 AM PST,Lily,Romance,Dog,Japanese,skiing and snowboarding,Morning,
2022/01/31 8:58:47 AM PST,Gul Dukat,Sci-fi,Dog,Italian,Playing video games,Afternoon,
2022/01/31 8:59:18 AM PST,James Bond,Sci-fi,Dog,Mexican,Yoga,Afternoon,
2022/01/31 8:59:55 AM PST,Captain Sisko,Sci-fi,Dog,Italian,Playing video games,Evening,
2022/01/31 8:59:58 AM PST,Stacy,Horror,Dog,Indian,Cooking,Morning,
2022/01/31 9:00:05 AM PST,Big Time Geeky Member ,Animated,Turtle,Ghana,Playing video games,Late night,
2022/01/31 9:00:11 AM PST,Queso,Drama,instect,Chinese,Hiking,Morning,
2022/01/31 9:02:34 AM PST,SpongeBob,Action,Dog,Korean,Painting or Drawing,Morning,
2022/01/31 9:08:41 AM PST,Sam.S,Horror,Dog,Indian,Hiking,Afternoon,
2022/01/31 9:45:20 AM PST,MM,Action,Dog,Italian,Playing a sport,Morning,
2022/01/31 10:05:45 AM PST,nic,Romance,Dog,Chinese,watching documentaries ,Afternoon,
2022/01/31 10:29:01 AM PST,zyx,thriller,Turtle,Chinese,Cooking,Morning,
2022/01/31 11:31:39 AM PST,C,Action,Cat,Chinese,Playing a sport,Afternoon,
2022/01/31 11:39:09 AM PST,Jonny Love,Horror,Cat,Chinese,Yoga,Late night,
2022/01/31 11:47:06 AM PST,Blue,Drama,Dog,Chinese,Crafts,Late night,
2022/01/31 12:32:15 PM PST,Jojo,Romance,Cat,Chinese,Dancing,Afternoon,
2022/01/31 1:02:13 PM PST,moira rose,Comedy,Cat,Japanese,Painting or Drawing,Morning,
2022/01/31 1:05:49 PM PST,George,Action,rabbit,Chinese,Cooking,Evening,
2022/01/31 1:06:47 PM PST,Koala,Action,Dog,Korean,Cooking,Morning,
2022/01/31 1:33:02 PM PST,Mike Ocks,Animated,Dog,Japanese,Exercising,Evening,
2022/01/31 1:37:47 PM PST,Ashley ,Comedy,Fish,Chinese,Playing an instrument,Late night,
2022/01/31 1:37:53 PM PST,carolyn,Romance,Dog,Chinese,Singing,Afternoon,
2022/01/31 1:37:56 PM PST,Sammy,Comedy,Cat,Japanese,Dancing,Afternoon,
2022/01/31 1:37:58 PM PST,ScarGates,Thriller,Cat,Chinese,Playing video games,Evening,
2022/01/31 1:38:52 PM PST,Diamond,Sci-fi,Dog,Korean,Playing a sport,Evening,
2022/01/31 1:40:22 PM PST,Indiana Jones,Action,Dog,Pakistani,Exercising ,Afternoon,
2022/01/31 1:41:37 PM PST,HERO,Comedy,Panda. Dragon,Chinese,Date,Late night,
2022/01/31 1:41:56 PM PST,Yur hur,Action,Fish,Chinese,Manga,Late night,
2022/01/31 1:43:50 PM PST,Leonard,Action,Dog,Indian,Playing a sport,Morning,
2022/01/31 1:49:28 PM PST,Frank Xia,Horror,Cat,Chinese,Playing an instrument,Afternoon,
2022/01/31 1:58:25 PM PST,Tahmathan,Action,Cat,Japanese,Playing video games,Late night,
2022/01/31 1:59:04 PM PST,John Wick,Comedy,Cat,American/Canadian,Playing video games,Evening,
2022/01/31 1:59:52 PM PST,Kermit,Drama,Cat,Mexican,Playing video games,Evening,
2022/01/31 2:00:25 PM PST,GÃ¼nter,Comedy,Dog,Indian,Playing video games,Morning,
2022/01/31 2:00:43 PM PST,Adam Sandler ,Action,Dog,Japanese,Painting or Drawing,Evening,
2022/01/31 2:01:32 PM PST,Joe Smith,Sci-fi,Cat,Italian,Playing video games,Morning,
2022/01/31 2:08:59 PM PST,Smokey McPot,Comedy,Dog,Mexican,Playing an instrument,Evening,
2022/01/31 2:09:15 PM PST,Mr. Invisible,Action,Dog,Chinese,Playing a sport,Evening,
2022/01/31 2:12:35 PM PST,Billy Boggins,Sci-fi,Cat,Japanese,Playing a sport,Evening,
2022/01/31 2:16:11 PM PST,MOMO,Animated,Cat,Korean,Playing video games,Evening,
2022/01/31 2:18:49 PM PST,Zeon,Sci-fi,Cat,Italian,Playing video games,Morning,
2022/01/31 2:26:30 PM PST,Anita Hardone,Comedy,Dog,Japanese,Playing a sport,Afternoon,
2022/01/31 2:40:14 PM PST,DefinitelyACMPT120Student,Action,Dog,Malaysian,Not going outside,Late night,
2022/01/31 2:53:56 PM PST,JungleJuice89,Drama,Dog,Japanese,Playing video games,Afternoon,
2022/01/31 2:54:34 PM PST,Sukuna,Fantasy,Cat,Chinese,Dancing,Late night,
2022/01/31 3:01:32 PM PST,sona,Fantasy,Cat,Indian,reading,Afternoon,
2022/01/31 3:37:08 PM PST,Stevie,Action,Dog,Mexican,Working out,Afternoon,
2022/01/31 3:45:53 PM PST,vladmir poutine,Sci-fi,Dog,Thai,Hiking,Evening,
2022/01/31 3:46:21 PM PST,S,Action,Cat,Korean,Playing video games,Late night,
2022/01/31 4:22:00 PM PST,Sleepless Engineer,Sci-fi,Dog,Turkish,Playing video games,Late night,
2022/01/31 5:08:28 PM PST,Balabala,Animated,Cat,Japanese,Crafts,Morning,
2022/01/31 5:30:29 PM PST,Claire Yam,Romance,Dog,Japanese,Crafts,Evening,
2022/01/31 5:46:38 PM PST,Taylor Lautner as Jacob Black (Twilight),Horror,Cat,Vietnamese,Playing video games,Evening,
2022/01/31 7:14:00 PM PST,SunnyD9,Comedy,Dog,Japanese,Hiking,Evening,
2022/01/31 7:24:26 PM PST,Demarcus Cousins IV,Sci-fi,Dog,Japanese,Hiking,Evening,
2022/01/31 8:06:11 PM PST,mimi,Comedy,Frog,Chinese,Dancing,Evening,
2022/01/31 8:41:32 PM PST,Riveting Rice,Action,Dog,Korean,Hiking,Late night,
2022/01/31 8:46:08 PM PST,Monica Samson,Drama,Dog,Japanese,Painting or Drawing,Evening,
2022/01/31 9:07:14 PM PST,Johnny Xin,Animated,Cat,Vietnamese,Playing a sport,Evening,
2022/01/31 9:13:47 PM PST,batman,Romance,Dog,Indian,Making videos,Evening,
2022/01/31 11:13:14 PM PST,FaKe_NaMe,Comedy,Dog,Vietnamese,Playing video games,Evening,
2022/02/01 8:02:39 AM PST,Dacubi,Comedy,Cat,Indian,Playing a sport,Evening,
2022/02/01 8:05:50 AM PST,Pete,Fantasy,Dog,Italian,Playing video games,Evening,
2022/02/01 8:28:26 AM PST,Arteezy,Psychological Thriller,Cat,Malaysian,Watching videos,Evening,
2022/02/01 9:30:04 AM PST,JCDjzz,Horror,Fish,Chinese,Playing a sport,Afternoon,
2022/02/01 10:13:50 AM PST,furby,Fantasy,Cat,Mexican,Reading,Evening,
2022/02/01 11:00:13 AM PST,Yyyyyyy,Drama,Cat,Japanese,Playing video games,Afternoon,
2022/02/01 1:05:31 PM PST,KoolAidMan,Comedy,Dog,Vietnamese,Playing video games,Afternoon,
2022/02/01 1:10:35 PM PST,Misa,Comedy,Dog,Indian,Singing,Late night,
2022/02/01 2:42:33 PM PST,"print(""hello, world"")",Thriller/Mystery,Tyrannosaurus rex,Pakistani,Playing a sport,Evening,
2022/02/01 4:21:38 PM PST,Bobe,Action,Dog,Japanese,Playing a sport,Late night,
2022/02/01 4:43:41 PM PST,Baby,Drama,Dog,Italian,Reading,Evening,
2022/02/01 5:50:15 PM PST,Chucky,Horror,Dog,Japanese,Acting,Afternoon,
2022/02/01 7:33:24 PM PST,cat14,Drama,Cat,Chinese,Dancing,Evening,
2022/02/01 7:36:39 PM PST,Strawberry,Animated,Dog,Italian,Playing video games,Afternoon,
2022/02/01 8:00:51 PM PST,Kevin,Fantasy,Cat,Chinese,Reading,Evening,
2022/02/01 8:38:31 PM PST,Arlo Guthrie,Horror,Dog,Japanese,Playing video games,Late night,
2022/02/01 9:16:33 PM PST,Leen,Horror,Dog,Italian,Hiking,Afternoon,
2022/02/01 10:05:08 PM PST,Mickey Mouse,Comedy,Bird,Turkish,Dancing,Morning,
2022/02/01 10:25:38 PM PST,ezlight,Fantasy,Cat,Korean,Singing,Afternoon,
2022/02/01 11:28:45 PM PST,potato,Comedy,Rodent,American/Canadian,Painting or Drawing,Evening,
2022/02/02 12:21:23 AM PST,Klee,Animated,Bird,Chinese,Painting or Drawing,Evening,
2022/02/02 2:37:39 AM PST,J,Drama,Cat,Korean,Cooking,Late night,
2022/02/02 8:19:29 AM PST,Celine,Romance,Cat,Korean,Dancing,Late night,
2022/02/02 8:32:45 AM PST,acheng,Comedy,Dog,Chinese,Playing a sport,Evening,
2022/02/02 8:34:20 AM PST,Loser,Animated,Dog,Italian,Painting or Drawing,Evening,
2022/02/02 9:18:36 AM PST,Polly ,Romance,Dog,Indian,Reading,Evening,
2022/02/02 11:00:38 AM PST,Smith,Fantasy,Dog,Greek,Hiking,Afternoon,
2022/02/02 12:32:16 PM PST,kapu,Animated,Dog,Korean,Playing an instrument,Afternoon,
2022/02/02 1:25:18 PM PST,alex,Action,Dog,Chinese,Playing an instrument,Morning,
2022/02/02 1:25:26 PM PST,Lizzy Hale,Fantasy,Dog,Japanese,Reading,Morning,
2022/02/02 1:35:40 PM PST,em,Historical,Cat,Chinese,Playing video games,Late night,
2022/02/02 1:53:19 PM PST,Hanabana,Romance,Dog,Chinese,Cooking,Afternoon,
2022/02/02 3:40:45 PM PST,mani,Horror,bunny,Indian,Singing,Morning,
2022/02/02 5:48:53 PM PST,John Doe,Historical,Spider,Chinese,Learning new languages,Late night,
2022/02/02 5:50:50 PM PST,OMICRON VARIANT,Sci-fi,Fish,Italian,Snowboarding,Afternoon,
2022/02/02 9:17:17 PM PST,Percy Jackson,Sci-fi,Cat,Italian,Playing a sport,Evening,
2022/02/02 9:42:18 PM PST,LeBron James,Action,Dog,Italian,Playing a sport,Late night,
2022/02/02 10:19:51 PM PST,Ocean,Drama,Dog,Thai ,Hiking,Evening,
2022/02/02 11:15:09 PM PST,uzui,Action,Dog,Vietnamese ,Playing video games,Evening,
2022/02/03 1:13:52 AM PST,fawn,Comedy,Dog,Indian,Cooking,Late night,
2022/02/03 9:35:35 AM PST,Nacho Libre,Comedy,Cat,Japanese,Painting or Drawing,Morning,
2022/02/03 11:04:37 AM PST,ken,Comedy,Cat,Chinese,Playing video games,Morning,
2022/02/03 1:28:55 PM PST,Aixinnn,Sci-fi,Dog,Chinese,Yoga,Morning,
2022/02/03 2:26:27 PM PST,Sasuke,Comedy,Frog,Persian,Making Memories,Morning,
2022/02/03 3:33:56 PM PST,Geralt of Rivia,Fantasy,Horse,Witcher potion,hunting,Late night,
2022/02/03 4:49:42 PM PST,NomenMendax,Sci-fi,Hedgehog,Indian,Hiking,Morning,
2022/02/03 6:19:57 PM PST,billie,Comedy,Dog,Japanese,Playing a sport,Late night,
2022/02/04 2:44:29 AM PST,MEDIATOR,Horror,Cat,Indian,Learning new languages,Late night,
2022/02/04 8:27:02 AM PST,Thanos,Action,Dog,Chinese,Playing video games,Afternoon,
2022/02/04 8:29:28 AM PST,Bojji,Action,Bird,Nigerian,Playing a sport,Afternoon,
2022/02/04 8:32:56 AM PST,Abby ,Drama,Dog,Mexican,reading ,Evening,
2022/02/04 8:33:28 AM PST,Philis Miller,Action,Rock,Turkish,Yoga,Afternoon,
2022/02/04 8:34:08 AM PST,zet,Sci-fi,Dog,Korean,weight lifting,Late night,
2022/02/04 9:14:39 AM PST,Julia,Animated,Dog,Chinese,Playing video games,Late night,
2022/02/04 9:22:57 AM PST,Y,Comedy,Dog,American/Canadian,Dancing,Afternoon,
2022/02/04 9:28:47 AM PST,John Doe,Horror,Dog,Mexican,Cooking,Late night,
2022/02/04 9:44:57 AM PST,IDUNNO,Horror,Dog,Japanese,Weight lifting,Morning,
2022/02/04 10:41:52 AM PST,Starry,Animated,Cat,Chinese,Playing video games,Evening,
2022/02/04 11:50:18 AM PST,Sarah,Sci-fi,Dog,Vietnamese,Dancing,Afternoon,
2022/02/04 1:22:47 PM PST,Moonlight,Fantasy,Fish,Japanese,Yoga,Afternoon,
2022/02/04 1:30:35 PM PST,:),Drama,Dog,Indian,Playing a sport,Afternoon,
2022/02/04 1:31:23 PM PST,person 55,Comedy,Dog,Japanese,Playing a sport,Morning,
2022/02/04 1:35:21 PM PST,goofer mcgoober bennett,Animated,Dog,brittish,fishing,Late night,
2022/02/04 1:36:30 PM PST,Boof Sckrigg Bogdanofvvv Caledonia III,Fantasy,Cat,Japanese,Playing an instrument,Afternoon,
2022/02/04 1:36:49 PM PST,Stimpy,Thriller,Cat,Italian,Painting or Drawing,Evening,
2022/02/04 1:49:53 PM PST,N9,Action,Cat,Italian,Playing an instrument,Morning,
2022/02/04 2:10:12 PM PST,Marquito,Animated,Dog,Japanese,Playing video games,Evening,
2022/02/04 3:24:26 PM PST,Penaldo,Drama,Dog,Chinese,ghosting in big games,Afternoon,
2022/02/04 6:09:37 PM PST,Lord Gwyndolin of the Dark Sun,Action,Fish,Chinese,Playing video games,Afternoon,
2022/02/04 7:50:54 PM PST,kimora,Horror,Cat,Indian,Singing,Morning,
2022/02/04 8:12:55 PM PST,Brendan ,Horror,Cat,Chinese,Playing video games,Afternoon,
2022/02/04 8:50:36 PM PST,K-king,Comedy,Dog,Korean,Playing video games,Late night,
2022/02/04 10:06:48 PM PST,sally,Comedy,Cat,Chinese,Playing video games,Evening,
